aeso_price,year,month,hour,day
15.39,2017,Aug,7,24
13.78,2017,Aug,8,24
14.06,2017,Aug,9,24
18.22,2017,Aug,10,24
18.28,2017,Aug,11,24
18.38,2017,Aug,12,24
18.39,2017,Aug,13,24
18.48,2017,Aug,14,24
18.42,2017,Aug,15,24
18.39,2017,Aug,16,24
18.39,2017,Aug,17,24
18.36,2017,Aug,18,24
18.21,2017,Aug,19,24
17.68,2017,Aug,20,24
18.11,2017,Aug,21,24
17.37,2017,Aug,22,24
15.39,2017,Aug,23,24
15.31,2017,Aug,0,25
15.38,2017,Aug,1,25
15.4,2017,Aug,2,25
16.14,2017,Aug,3,25
18.28,2017,Aug,4,25
18.28,2017,Aug,5,25
18.3,2017,Aug,6,25
18.44,2017,Aug,7,25
18.38,2017,Aug,8,25
18.96,2017,Aug,9,25
19.35,2017,Aug,10,25
18.36,2017,Aug,11,25
20.29,2017,Aug,12,25
19.89,2017,Aug,13,25
20.2,2017,Aug,14,25
20.42,2017,Aug,15,25
20.43,2017,Aug,16,25
20.43,2017,Aug,17,25
19.02,2017,Aug,18,25
18.45,2017,Aug,19,25
19.04,2017,Aug,20,25
18.47,2017,Aug,21,25
22.98,2017,Aug,22,25
20.91,2017,Aug,23,25
18.87,2017,Aug,0,26
20.04,2017,Aug,1,26
18.42,2017,Aug,2,26
18.3,2017,Aug,3,26
18.28,2017,Aug,4,26
18.28,2017,Aug,5,26
18.29,2017,Aug,6,26
18.39,2017,Aug,7,26
18.32,2017,Aug,8,26
19.59,2017,Aug,9,26
25.65,2017,Aug,10,26
32.47,2017,Aug,11,26
43.36,2017,Aug,12,26
32.26,2017,Aug,13,26
45.52,2017,Aug,14,26
41.86,2017,Aug,15,26
40.12,2017,Aug,16,26
28.01,2017,Aug,17,26
27.49,2017,Aug,18,26
27.8,2017,Aug,19,26
27.46,2017,Aug,20,26
20.81,2017,Aug,21,26
24.73,2017,Aug,22,26
20.72,2017,Aug,23,26
25.52,2017,Aug,0,27
24.37,2017,Aug,1,27
20.73,2017,Aug,2,27
20.43,2017,Aug,3,27
20.42,2017,Aug,4,27
20.42,2017,Aug,5,27
20.42,2017,Aug,6,27
22.75,2017,Aug,7,27
19.73,2017,Aug,8,27
22.2,2017,Aug,9,27
27.77,2017,Aug,10,27
31.49,2017,Aug,11,27
45.17,2017,Aug,12,27
77.46,2017,Aug,13,27
100.01,2017,Aug,14,27
49.32,2017,Aug,15,27
38.43,2017,Aug,16,27
53.01,2017,Aug,17,27
210.45,2017,Aug,18,27
34.71,2017,Aug,19,27
26.25,2017,Aug,20,27
24.03,2017,Aug,21,27
27.33,2017,Aug,22,27
26.13,2017,Aug,23,27
25.13,2017,Aug,0,28
20.45,2017,Aug,1,28
18.39,2017,Aug,2,28
18.32,2017,Aug,3,28
18.29,2017,Aug,4,28
18.29,2017,Aug,5,28
18.39,2017,Aug,6,28
20.33,2017,Aug,7,28
18.84,2017,Aug,8,28
18.41,2017,Aug,9,28
19.89,2017,Aug,10,28
20.43,2017,Aug,11,28
20.87,2017,Aug,12,28
23.63,2017,Aug,13,28
27.32,2017,Aug,14,28
27.77,2017,Aug,15,28
32.48,2017,Aug,16,28
33.91,2017,Aug,17,28
27.69,2017,Aug,18,28
28.36,2017,Aug,19,28
